xpos_error,iterations
7.334743770319033e-10,30
6.966103757083821e-10,31
9.113277113144915e-10,28
0.012841730646044889,200
5.313699621370048e-10,31
8.741224035439405e-10,30
6.826260207756066e-10,30
8.903782662010453e-10,27
8.479963827515161e-10,26
6.25336511496973e-10,28
8.16694845625512e-10,28
8.039999909804038e-10,29
5.205787705466435e-10,40
0.20249013513091807,200
9.870279055007434e-10,28
7.980192554001363e-10,26
0.06495626203569767,200
7.953143130576418e-10,29
5.712674602021772e-10,30
7.167542799065094e-10,28
8.237848724627156e-10,26
0.01312536993918349,200
8.220601696797958e-10,26
5.336681667575364e-10,31
5.059578004697523e-10,30
9.833682821487866e-10,28
7.203542520292112e-10,29
5.296251669835801e-10,28
8.903782662010453e-10,27
7.534313638057498e-10,28
9.206011284958091e-10,27
0.0649562620412037,200
8.617344926253924e-10,29
8.039616864506193e-10,28
5.838624064489268e-10,28
8.109618267939757e-10,28
0.02082631445737114,200
7.318289808481188e-10,28
9.023014684287758e-10,27
5.297382819699716e-10,25
0.05846882382289434,200
5.610493672001232e-10,28
7.064448795616793e-10,27
9.706766634195142e-10,27
5.155927413625252e-10,29
0.04946074099606347,200
9.95866511982748e-10,28
6.389198506823594e-10,27
6.392884134185649e-10,28
5.146123515665161e-10,27
6.633711368121842e-10,28
5.223358815213812e-10,26
0.05729885154254847,200
0.02082615206009047,200
5.516101071412994e-10,28
7.028353641793176e-10,28
8.034748842716993e-10,27
6.609503132179703e-10,29
7.107281242599534e-10,26
8.231986701251989e-10,28
9.349581795481824e-10,26
7.136255054698598e-10,34
5.081261448657559e-10,29
7.950687206458334e-10,28
6.30009713240764e-10,48
9.130169753253804e-10,28
7.330412676395965e-10,30
5.07157231368542e-10,28
9.527393327222072e-10,25
0.012459431491110116,200
8.273860683498979e-10,25
5.226178931572161e-10,27
7.193791782067183e-10,30
5.883909074739184e-10,31
0.04146601055378941,200
8.712987357141513e-10,29
5.413131062805847e-10,31
6.737221498021956e-10,28
7.294485887217929e-10,28
8.867976510147095e-10,28
9.873532264161587e-10,33
6.285939546181412e-10,30
7.50889815455334e-10,28
8.263487775092484e-10,30
5.404185596726476e-10,28
5.040866430518768e-10,28
9.731935412378176e-10,32
9.689920712326028e-10,30
5.839227093763284e-10,28
0.08168541068846993,200
5.661646033711606e-10,28
6.68594564420019e-10,28
7.270725938912673e-10,30
7.990431386254944e-10,32
6.957839564200686e-10,30
8.279833395446599e-10,27
5.879085779291187e-10,29
0.08104525717796682,200
9.223436167527233e-10,27
7.566142105359343e-10,25
